"","clust","PIB/hab PPA (I$)","Importations (milliers de tonnes)","Stabilité politique (indice)","Distances (km)","clust","Dim.1","Dim.2"
"1","Europe de l'Est",-1.24366182320914,-0.257907348773212,-1.65670757823618,0.172482348589341,"Europe de l'Est",-1.76511547742118,0.554091265809411
"2","Europe de l'Ouest",0.109276830045883,1.77310985941942,0.092841614981974,-0.827467239958012,"Europe de l'Ouest",-0.454216967259093,-2.34356912313785
"3","Europe centrale",-0.749584991139162,-0.502947720822801,0.0650229966314607,-0.506002090965831,"Europe centrale",-0.170832639406565,-0.140885511905574
"4","Amériques",1.17091154597353,-0.395948140427543,0.505282869656976,1.66575021277382,"Amériques",0.827764493322572,2.03366309141287
"5","Europe du Nord",0.713058438328888,-0.61630664939586,0.993560096965769,-0.504763230439322,"Europe du Nord",1.311432479723,-0.139918013452963
